"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
372,"i81$","Annual investment in telecommunication services",,"USD",135,"LCA","Saint Lucia","1.81971e+007",2018,"","","Annual investment in telecommunication services refers to the investment during the financial year made by entities providing telecommunication networks and/or services (including fixed, mobile and Internet services, as well as the transmission of TV signals) for acquiring or upgrading fixed assets (usually referred to as CAPEX), less disinvestment owing to disposals of fixed assets"
400,"i952","Revenue from all telecommunication services","i75$","per employee",135,"LCA","Saint Lucia","317517",2018,"","","Refers to revenues from all telecommunication services divided by employees"
406,"i96","Annual investment in telecommunication services","i81$","As % of revenues",135,"LCA","Saint Lucia","25.9324",2018,"","","Refers to annual investment divided by telecommunication revenues"
253,"i51","Full-time equivalent telecommunication employees ",,"count",246,"VCT","Saint Vincent and the Grenadines","150",2018,"","National Telecommunications Regulatory Commission","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
254,"i51f","Full-time equivalent telecommunication employees ","i51","female",246,"VCT","Saint Vincent and the Grenadines","72",2018,"","National Telecommunications Regulatory Commission","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",246,"VCT","Saint Vincent and the Grenadines","4.41844e+007",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
372,"i81$","Annual investment in telecommunication services",,"USD",246,"VCT","Saint Vincent and the Grenadines","3.83584e+006",2018,"","","Annual investment in telecommunication services refers to the investment during the financial year made by entities providing telecommunication networks and/or services (including fixed, mobile and Internet services, as well as the transmission of TV signals) for acquiring or upgrading fixed assets (usually referred to as CAPEX), less disinvestment owing to disposals of fixed assets"
400,"i952","Revenue from all telecommunication services","i75$","per employee",246,"VCT","Saint Vincent and the Grenadines","294563",2018,"","","Refers to revenues from all telecommunication services divided by employees"
406,"i96","Annual investment in telecommunication services","i81$","As % of revenues",246,"VCT","Saint Vincent and the Grenadines","8.68143",2018,"","","Refers to annual investment divided by telecommunication revenues"
10,"i841f","Annual foreign investment in telecommunications",,"LCU",161,"MWI","Malawi","2.49066e+010",2018,"","Malawi Communication regulatory authority","Annual foreign investment in telecommunications refers to investment during the financial year in telecommunication services (including fixed, mobile and Internet services) coming from foreign sources, also referred to as foreign direct investment
(FDI)"
253,"i51","Full-time equivalent telecommunication employees ",,"count",161,"MWI","Malawi","1353",2018,"","Malawi Communication regulatory authority","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
254,"i51f","Full-time equivalent telecommunication employees ","i51","female",161,"MWI","Malawi","419",2018,"","Malawi Communication regulatory authority","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",161,"MWI","Malawi","4.02244e+008",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
372,"i81$","Annual investment in telecommunication services",,"USD",161,"MWI","Malawi","7.14601e+007",2018,"","","Annual investment in telecommunication services refers to the investment during the financial year made by entities providing telecommunication networks and/or services (including fixed, mobile and Internet services, as well as the transmission of TV signals) for acquiring or upgrading fixed assets (usually referred to as CAPEX), less disinvestment owing to disposals of fixed assets"
400,"i952","Revenue from all telecommunication services","i75$","per employee",161,"MWI","Malawi","297298",2018,"","","Refers to revenues from all telecommunication services divided by employees"
406,"i96","Annual investment in telecommunication services","i81$","As % of revenues",161,"MWI","Malawi","17.7653",2018,"","","Refers to annual investment divided by telecommunication revenues"
253,"i51","Full-time equivalent telecommunication employees ",,"count",149,"MDV","Maldives","1197",2018,"","Communications Authority of Maldives","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
254,"i51f","Full-time equivalent telecommunication employees ","i51","female",149,"MDV","Maldives","337",2018,"","Communications Authority of Maldives","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
253,"i51","Full-time equivalent telecommunication employees ",,"count",195,"PRI","Puerto Rico","7958",2018,"Source: Puerto Rico Telecommunications Regulatory Board.","Puerto Rico Institute of Statistics","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",195,"PRI","Puerto Rico","2.33391e+009",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
400,"i952","Revenue from all telecommunication services","i75$","per employee",195,"PRI","Puerto Rico","293279",2018,"","","Refers to revenues from all telecommunication services divided by employees"
349,"i75$","Revenue from all telecommunication services",,"USD",18,"SAU","Saudi Arabia","1.55776e+010",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
372,"i81$","Annual investment in telecommunication services",,"USD",18,"SAU","Saudi Arabia","4.46194e+009",2018,"","","Annual investment in telecommunication services refers to the investment during the financial year made by entities providing telecommunication networks and/or services (including fixed, mobile and Internet services, as well as the transmission of TV signals) for acquiring or upgrading fixed assets (usually referred to as CAPEX), less disinvestment owing to disposals of fixed assets"
406,"i96","Annual investment in telecommunication services","i81$","As % of revenues",18,"SAU","Saudi Arabia","28.6433",2018,"","","Refers to annual investment divided by telecommunication revenues"
253,"i51","Full-time equivalent telecommunication employees ",,"count",207,"SYC","Seychelles","367",2018,"","Office of the Vice-President, Department of Information Communications Technology","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
254,"i51f","Full-time equivalent telecommunication employees ","i51","female",207,"SYC","Seychelles","138",2018,"","Office of the Vice-President, Department of Information Communications Technology","Full-time equivalent telecommunication employees refers to the total number of persons, in full-time equivalent (FTE) units, employed by telecommunication operators in the country for the provision of telecommunication services, including fixed-telephone, mobile-cellular, Internet and data services"
349,"i75$","Revenue from all telecommunication services",,"USD",207,"SYC","Seychelles","8.80499e+007",2018,"","","Revenue from all telecommunication services refers to revenue earned from retail fixedtelephone, mobile-cellular, Internet and data services offered by telecommunication operators (both network and virtual, including resellers) offering services within the country during the financial year under review. It includes retail revenues earned from the transmission of TV signals, but excludes revenues from TV content creation. "
400,"i952","Revenue from all telecommunication services","i75$","per employee",207,"SYC","Seychelles","239918",2018,"","","Refers to revenues from all telecommunication services divided by employees"
