"observation","time_period","ref_area","indicator","breakdown","unit_measure","value","flag","note"
"http://semantic.digital-agenda-data.eu/data/DESI/desi_dps_prefform/all_egov_le/egov_score/EE/2021","2021","EE","desi_dps_prefform","all_egov_le","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_dps_prefform/all_egov_le/egov_score/LU/2021","2021","LU","desi_dps_prefform","all_egov_le","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_dps_pscit/all_egov_le/egov_score/PT/2021","2021","PT","desi_dps_pscit","all_egov_le","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ai/ent_all_xfin/pc_ent/FI/2021","2021","FI","desi_idt_ai","ent_all_xfin","pc_ent",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ai/ent_all_xfin/pc_ent/FR/2021","2021","FR","desi_idt_ai","ent_all_xfin","pc_ent",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_cloud/ent_all_xfin/pc_ent/CY/2021","2021","CY","desi_idt_cloud","ent_all_xfin","pc_ent",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_cloud/ent_all_xfin/pc_ent/EE/2021","2021","EE","desi_idt_cloud","ent_all_xfin","pc_ent",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_cloud/ent_all_xfin/pc_ent/LU/2021","2021","LU","desi_idt_cloud","ent_all_xfin","pc_ent",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_cloud/ent_all_xfin/pc_ent/PT/2021","2021","PT","desi_idt_cloud","ent_all_xfin","pc_ent",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_smedi/ent_sm_xfin/pc_ent/AT/2021","2021","AT","desi_idt_smedi","ent_sm_xfin","pc_ent",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_smedi/ent_sm_xfin/pc_ent/HR/2021","2021","HR","desi_idt_smedi","ent_sm_xfin","pc_ent",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_smedi/ent_sm_xfin/pc_ent/IT/2021","2021","IT","desi_idt_smedi","ent_sm_xfin","pc_ent",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_smedi/ent_sm_xfin/pc_ent/PL/2021","2021","PL","desi_idt_smedi","ent_sm_xfin","pc_ent",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_smedi/ent_sm_xfin/pc_ent/SI/2021","2021","SI","desi_idt_smedi","ent_sm_xfin","pc_ent",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_abds/ind_total/pc_ind/SK/2020","2020","SK","desi_hc_abds","ind_total","pc_ind",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_abss/ind_total/pc_ind/BG/2020","2020","BG","desi_hc_abss","ind_total","pc_ind",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_abss/ind_total/pc_ind/HR/2021","2021","HR","desi_hc_abss","ind_total","pc_ind",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_abss/ind_total/pc_ind/HU/2021","2021","HU","desi_hc_abss","ind_total","pc_ind",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_abss/ind_total/pc_ind/IT/2020","2020","IT","desi_hc_abss","ind_total","pc_ind",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_abss/ind_total/pc_ind/LT/2020","2020","LT","desi_hc_abss","ind_total","pc_ind",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_bds/ind_total/pc_ind/EE/2020","2020","EE","desi_hc_bds","ind_total","pc_ind",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_bds/ind_total/pc_ind/LU/2020","2020","LU","desi_hc_bds","ind_total","pc_ind",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_dps_opendata/total/od_score/DK/2021","2021","DK","desi_dps_opendata","total","od_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_dps_opendata/total/od_score/LT/2021","2021","LT","desi_dps_opendata","total","od_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_dps_opendata/total/od_score/NL/2021","2021","NL","desi_dps_opendata","total","od_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_total/desi_total/pc_desi/EL/2020","2020","EL","desi_total","desi_total","pc_desi",0.275707,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_entict/ent_all_xfin/pc_ent/IE/2020","2020","IE","desi_hc_entict","ent_all_xfin","pc_ent",0.306776,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_hc_entict/ent_all_xfin/pc_ent/SI/2020","2020","SI","desi_hc_entict","ent_all_xfin","pc_ent",0.284391,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_bigdat/ent_all_xfin/pc_ent/EL/2020","2020","EL","desi_idt_bigdat","ent_all_xfin","pc_ent",0.125871,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_einv/ent_all_xfin/pc_ent/EL/2020","2020","EL","desi_idt_einv","ent_all_xfin","pc_ent",0.09202,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_einv/ent_all_xfin/pc_ent/EU/2020","2020","EU","desi_idt_einv","ent_all_xfin","pc_ent",0.247944,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_einv/ent_all_xfin/pc_ent/HR/2020","2020","HR","desi_idt_einv","ent_all_xfin","pc_ent",0.122639,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_eis/ent_all_xfin/pc_ent/DK/2020","2020","DK","desi_idt_eis","ent_all_xfin","pc_ent",0.495398,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_eis/ent_all_xfin/pc_ent/FR/2020","2020","FR","desi_idt_eis","ent_all_xfin","pc_ent",0.479088,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_eis/ent_all_xfin/pc_ent/NL/2020","2020","NL","desi_idt_eis","ent_all_xfin","pc_ent",0.472331,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_socmed/ent_all_xfin/pc_ent/CY/2020","2020","CY","desi_idt_socmed","ent_all_xfin","pc_ent",0.383002,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomturn/ent_sm_xfin/pc_turn/FR/2020","2020","FR","desi_idt_ecomturn","ent_sm_xfin","pc_turn",0.109388,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_ecomturn/ent_sm_xfin/pc_turn/NL/2020","2020","NL","desi_idt_ecomturn","ent_sm_xfin","pc_turn",0.116944,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_sellcb/ent_sm_xfin/pc_ent/EL/2020","2020","EL","desi_idt_sellcb","ent_sm_xfin","pc_ent",0.040559,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_sellcb/ent_sm_xfin/pc_ent/HR/2020","2020","HR","desi_idt_sellcb","ent_sm_xfin","pc_ent",0.102423,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_sellcb/ent_sm_xfin/pc_ent/HU/2020","2020","HU","desi_idt_sellcb","ent_sm_xfin","pc_ent",0.052243,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_smeso/ent_sm_xfin/pc_ent/BE/2020","2020","BE","desi_idt_smeso","ent_sm_xfin","pc_ent",0.286681,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_idt_smeso/ent_sm_xfin/pc_ent/LU/2020","2020","LU","desi_idt_smeso","ent_sm_xfin","pc_ent",0.088307,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_fbbtc/hh_total/pc_hh_all/AT/2020","2020","AT","desi_fbbtc","hh_total","pc_hh_all",0.716183,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_fbbtc/hh_total/pc_hh_all/SI/2020","2020","SI","desi_fbbtc","hh_total","pc_hh_all",0.834489,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_gbpstc/hh_total/pc_hh/BG/2020","2020","BG","desi_gbpstc","hh_total","pc_hh",0.0025781,,
