Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Eswatini,SWZ,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.3992755533299
Ethiopia,ETH,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,64.2205093,..,..,..,..,..,..,90.5978260588328
Fiji,FJI,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Finland,FIN,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.1929306398475
Finland,FIN,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.5673280461967
France,FRA,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.4583026798561
France,FRA,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.84403613,..,..,95.272129576606
Gabon,GAB,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,69.88040617,..,..,..,72.95549063,..,..,78.3152906351287
"Gambia, The",GMB,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gambia, The",GMB,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.4532624935205
Georgia,GEO,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Georgia,GEO,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,94.12885884,..,..,..,95.13932139,..,..,91.6966491630148
Germany,DEU,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.8940525623075
Germany,DEU,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.68022645,..,..,97.958222489491
Ghana,GHA,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ghana,GHA,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.74921822,..,..,87.9249691716942
Greece,GRC,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.0055748665914
Greece,GRC,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,92.78655247,..,..,..,97.67209011,..,..,96.6974425920244
Grenada,GRD,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Have online digital ID, total (% of population ages 15+)",has_eid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"ID ownership, total (% of population ages 15+)",ID.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,93.02061726,..,..,..,..,..,..,94.3457721688668
