indicatorId,geoUnit,year,type,subtype,value
FOSGP.5T8.F500600700,AUT,2013,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2014,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2014,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2015,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2015,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2016,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2016,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2018,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2018,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2019,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2019,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2020,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2020,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2021,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2021,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2022,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2022,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2023,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2023,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AUT,2024,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AUT,2024,Source,Data sources,Country's submission to UNESCO OECD Eurostat (UOE) joint data collection
FOSGP.5T8.F500600700,AZE,2008,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AZE,2008,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,AZE,2009,Data Status,Data reporting,NA
FOSGP.5T8.F500600700,AZE,2009,Source,Data sources,Country's submission to UIS SFE Questionnaire C
FOSGP.5T8.F500600700,AZE,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AZE,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AZE,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AZE,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AZE,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AZE,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
FOSGP.5T8.F500600700,AZE,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
